nombre,apellido,cargo,provincia,bloque,partido,mandato,mandato_inicio,mandato_fin,foto_url,wikidata_id,fuente_url,fuente_nombre
Santiago,Santurio,diputado,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20334340660_20231220212146000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Gisela,Scaglia,diputado,Santa Fe,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27254532164_20251126150327000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Juan,Schiaretti,diputado,Cordoba,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2025-2029,2026-02-12,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20077998412_20260211164128000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Darío,Schneider,diputado,Entre Rios,UCR - UNIÓN CÍVICA RADICAL,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20169551139_20251126151156000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Sabrina,Selva,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27326867476_20250609144435000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Adriana Cristina,Serquis,diputado,Rio Negro,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27184140115_20251204155243000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Vanesa Raquel,Siley,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27311140693_20251127081950000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Guillermo,Snopek,diputado,Jujuy,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20243992371_20231128095550000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Laura,Soldano,diputado,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27282719938_20251126153213000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Julia,Strada,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27344084039_20231128095848000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
